Datensatz,Kategorie,Knoten,Kanten,statische_Kanten,Zeitstempel,Gewichte,Kanten_Kardinalitaeten_Exponent,Grad_Exponent,temp_Durchmesser,Erreichbarkeit,temp_Korrelation,temp_Clustering,Grad,Clustering,Grad_assortativity
arXiv_hep_ph-random,Chung-Lu,27975,9182728,6292432,2311,1,2.1394414364333922,1.190565464925792,20,27833.17340482574,0.04775515260762908,4.411215018590968e-05,223.9857615776172,0.06945547215013972,0.43476594353704046
arXiv_hep_th-random,Chung-Lu,22727,5307834,4854698,217,1,2.339706130949219,1.2006602619098576,18,21182.116337396048,0.04922932764310239,0.0006775618866089318,211.92151213549852,0.13354449259749546,0.3693795968685325
Ask_Ubuntu-random,Chung-Lu,128242,1444314,893580,507305,1,2.0928228388864536,1.579492410917307,26,95416.05235414294,0.19891922768072,1.592470664762642e-07,5.683628037145401,0.04270824544938131,0.2525799846827842
Bitcoin_Alpha-random,Chung-Lu,3177,28156,28156,1515,1,2.442695040888964,1.4950857559139517,17,2276.0358829084043,0.0,5.459691056978119e-05,7.446707220312087,0.0695010296465208,0.3650742280822666
Contact-random,Chung-Lu,230,51052,3906,11332,1,1.4161215596765433,1.4020666885276536,8,227.08260869565217,0.40766332939354244,0.0006399624770183267,14.255474452554745,0.401430258417714,0.34238832194753827
DBLP-random,Chung-Lu,10513,98978,98978,30,1,2.442695040888964,1.4602891391722954,16,5729.914677066489,0.0,0.0004434309422451351,7.861636219221604,0.011108314922533214,0.29409269919058034
Digg_friends-random,Chung-Lu,217246,3080264,3080264,987855,1,2.4426950408889603,1.5418114526255642,27,163849.3375159957,0.0,3.335569250444325e-08,11.015538445583255,0.025599574285471934,0.23374626621288755
Digg_reply-random,Chung-Lu,25225,172948,170548,53420,1,2.42515139479719,1.514638556726768,26,13409.81910802775,0.009123633608968585,6.296878546244418e-08,5.617523056653491,0.0027690415194640927,0.3922867755688
DNC_e-mails-random,Chung-Lu,1388,55618,7998,12125,1,1.6088817454311923,1.6288708474888831,14,1163.0828530259366,0.570435235583264,0.00010060703377331663,4.288471849865951,0.11528513796464986,0.27755147628972215
Dublin-random,Chung-Lu,10443,831398,89216,69119,1,1.550913096860413,1.4026274720731688,29,10240.943598582782,0.3984623631232748,3.123396017234326e-07,8.131984322304257,0.0020560153635296226,0.3672744020375657
Enron-random,Chung-Lu,64407,2094084,592946,156934,1,1.783733983044519,1.5998792006308618,25,53204.03897091931,0.4290617964501055,5.801226426744807e-07,6.817195152797259,0.01937817289378764,0.3932269643462581
Epinions-random,Chung-Lu,103741,1420632,1420632,939,1,2.442695040888961,1.5235849172646065,26,49366.99907461852,0.0,3.191638370621893e-05,10.79671682626539,0.023628699428338496,0.3893848755352427
EU_e-mails-random,Chung-Lu,942,426066,31826,112364,1,1.5064772265048922,1.278928581780522,13,940.5403397027601,0.28039236907748294,1.8075401666886755e-05,32.34349593495935,0.14843118822429896,0.4343678130945137
Facebook_forum-random,Chung-Lu,837,67278,14010,21330,1,1.6065001919504014,1.3356990151363624,14,823.9139784946236,0.24219688934709466,1.63333172879233e-05,15.583982202447164,0.07297361003917265,0.43065243841644746
Facebook_messages-random,Chung-Lu,1715,77348,27808,28500,1,1.7813452658348625,1.3740487094818925,17,1651.2845481049562,0.2408166048704257,8.473177149055665e-06,14.643496577145866,0.0801219639173293,0.4412965305404674
Facebook_wall-random,Chung-Lu,40505,1164858,366068,423171,1,1.7593631289238691,1.4392604231205444,30,36955.48354524133,0.30549512196674544,9.62479560666597e-09,7.990483050662475,0.001025311769543947,0.40783786057944477
Flickr-random,Chung-Lu,1825941,45670832,45670832,134,1,2.4426950408888395,1.493930945390551,-1,-1,0.0,0.00011602166134401236,19.83168861125127,0.012326829530936669,0.35591562528770737
High_school_2013-random,Chung-Lu,327,380706,11834,7367,1,1.4230653528228965,1.2392220026258458,4,327.0,0.25232431280790674,0.000632220572109532,36.18960244648318,0.1466209405966393,0.3637769047759539
Hospital_ward-random,Chung-Lu,75,60200,2130,8123,1,1.3563498926475919,1.256923611328497,3,75.0,0.2082138963328127,0.002066654520850425,28.4,0.5659569153089689,0.41709697631337195
Hypertext_2009-random,Chung-Lu,113,34030,4220,4285,1,1.5826525571395011,1.2399449566642033,4,113.0,0.17745922175395096,0.0008440119845703366,37.34513274336283,0.48903281816337796,0.40336653436817244
Infectious-random,Chung-Lu,402,33666,5440,1350,1,1.5887382129467507,1.3302795296987415,12,401.7089552238806,0.2836369990451118,0.00025775791077446816,13.268292682926829,0.05978952777532439,0.3401743090233567
InVS13-random,Chung-Lu,95,787124,7696,19524,1,1.2417954390996178,1.1974391469481231,2,95.0,0.15495257658161912,0.0047563756366732855,81.01052631578948,0.9086312961320682,0.2207403122578052
InVS15-random,Chung-Lu,219,2537640,33086,21372,1,1.2567002247741652,1.1770432469316627,3,219.0,0.09194532778067288,0.0027670885968294153,151.07762557077626,0.7733953894629146,0.40527104237535444
LH10-random,Chung-Lu,73,310686,2680,12312,1,1.2567656525034434,1.2418196682893987,3,73.0,0.23146818769426047,0.006662033075717149,36.71232876712329,0.6782577048904698,0.3856616067712597
Linux_kernel_mailing-random,Chung-Lu,23192,1358544,305758,455084,1,1.7141835916048085,1.495710452500745,21,21755.90781303898,0.38929785899064256,1.2974277421720014e-06,11.372810117165706,0.12134296825162806,0.29724617417092847
Lyon_school-random,Chung-Lu,242,13094322,52530,3124,1,1.1851156344752853,1.164790924987927,2,242.0,0.21406199785134591,0.073039096304149,217.06611570247935,0.9153252046640291,0.36070696922693646
Math_Overflow-random,Chung-Lu,21745,777610,366560,271441,1,1.9570101166850662,1.4466599647647427,22,20062.428512301678,0.22573151156061147,9.268098694106247e-07,14.807513633609371,0.1106186476534292,0.36401525746345054
MIT_Reality_Mining-random,Chung-Lu,95,2010668,4900,31896,1,1.2396733509266507,1.2203487883115969,3,95.0,0.3874558367567043,0.008897839194877195,51.578947368421055,0.6881834245906622,0.3729154007777791
Primary_school-random,Chung-Lu,242,248894,16656,3100,1,1.4676582350268084,1.2066746753765256,3,242.0,0.11028560713558411,0.0018497427410084032,68.82644628099173,0.37687163799275475,0.43438256807830944
Radoslaw_e-mails-random,Chung-Lu,156,99092,6162,29060,1,1.4653238135827413,1.2580204645279567,5,155.81410256410257,0.21811703364980856,0.00029509320811657,36.89820359281437,0.48121778303462975,0.3365475967513163
SFHH-random,Chung-Lu,403,2778028,145716,3137,1,1.3209403262475197,1.1523797574017889,3,403.0,0.02743158338431272,0.0056628206960286755,361.5781637717122,0.9319421088020856,0.3190086204375896
SFHH_conference-random,Chung-Lu,403,148812,18900,3427,1,1.6542585493852933,1.2335675551624616,9,402.970223325062,0.20824717111877836,0.0005661426462707778,46.898263027295286,0.22916201969412744,0.4312368957690638
Slashdot-random,Chung-Lu,38850,249010,232128,61490,1,2.3585165435740407,1.5992928558446438,24,20716.58097812098,0.052441125766032735,1.9750997017676211e-07,4.544223013977526,0.008733545476676327,0.17262709108202157
SMS-random,Chung-Lu,33423,843628,104604,270724,1,1.6245809601993395,1.6782258676554744,33,16084.466684618377,0.5489980313824386,1.9099147860855885e-08,2.3725645852707022,0.0004462780736463404,0.22827987395143678
Super_User-random,Chung-Lu,158666,2171472,1397826,761842,1,2.109068753568655,1.5408605000061546,27,126337.99792646187,0.18005160448404917,1.1049362815948434e-07,7.26486806750204,0.04469075970749657,0.17425694030081926
Thiers13-random,Chung-Lu,328,37390946,86096,8938,1,1.2590264971128435,1.1599395686271625,2,328.0,0.23769878658361906,0.04035262050191566,262.4878048780488,0.8295282487353074,0.408012292981933
Twitter_retweets-random,Chung-Lu,14197,122314,96276,38280,1,2.226924162684901,1.5753384566233135,23,9088.791786997253,0.12938630033103576,7.290431110140929e-07,5.213125406107863,0.017112658028747806,0.3692577759764591
UC_Irvine_messages-random,Chung-Lu,1705,81982,27378,29401,1,1.7494255391002425,1.3767086562848476,15,1645.151319648094,0.2551005714743925,9.879393074897441e-06,14.424657534246576,0.08441276776489287,0.43518418468016207
Workplace_contacts-random,Chung-Lu,92,20178,1500,5041,1,1.4687453861906836,1.303170166370807,6,91.97826086956522,0.26516342720588665,0.0007513263677354673,16.304347826086957,0.2756600627182446,0.30510496595864783
Yahoo_messages-random,Chung-Lu,92665,4138034,1179900,998953,1,1.700785297035365,1.3791332288694327,33,89676.65028867425,0.2651162413422727,3.1644200445223998e-09,11.798882011179888,0.0008684668800594983,0.34533511242185994
YouTube-random,Chung-Lu,2544480,24088464,18476272,203,1,2.1065722575136867,1.5826314719251613,-1,-1,0.2255733512443147,0.0001746641030816024,5.7315842683419005,0.021494274821231094,0.0911792265974888
arXiv_hep_ph-random,Erdős–Rényi,28094,9211032,6306626,2315,1,2.1395618036918886,1.1638086458267705,3,28094.0,0.01927248099242722,3.8093998418940325e-11,224.48302128568378,0.007989365408670655,-0.00029361637536497973
arXiv_hep_th-random,Erdős–Rényi,22909,5352488,4893762,218,1,2.3392728536482172,1.1651530660446372,4,22909.0,0.0194951551258777,3.824570993612652e-11,213.6174429263608,0.009317880112055605,-0.0004992282997582205
Ask_Ubuntu-random,Erdős–Rényi,159121,880027,545165,576264,1,2.0922251087835515,1.55042443791708,18,64.36205780506658,0.1554695385296522,1.0074505655793021e-13,3.4218884362622948,4.672887688399862e-05,-0.0010173633750490737
Bitcoin_Alpha-random,Erdős–Rényi,3784,24142,24142,1579,1,2.4426950408889634,1.4071202939494145,19,460.2603065539112,0.0,9.827689405835611e-12,6.380021141649048,0.0031622518708238727,0.0041863412197142265
Contact-random,Erdős–Rényi,275,60044,4360,11910,1,1.4057955116715466,1.2919689655107998,4,275.0,0.15499459646162908,2.4639851806279653e-06,15.854545454545455,0.06041665916408387,-0.04289952737475978
DBLP-random,Erdős–Rényi,12585,49467,49467,30,1,2.442695040888964,1.512944350833528,13,34.79960270162892,0.0,3.334711276743006e-13,3.9287586371217538,0.0006448560282531325,0.006720641820787189
Digg_friends-random,Erdős–Rényi,279629,1731514,1731514,1057978,1,2.442695040888961,1.4120983068493773,24,490.79600470623575,0.0,1.9793138651389037e-14,6.192138925941688,4.529415887661681e-05,-0.0010353525005598434
Digg_reply-random,Erdős–Rényi,30287,86226,85110,53496,1,2.4258937172076966,1.6109892712599878,13,16.699937266814146,0.007599665495657862,8.738462424721157e-11,2.799763150103622,0.00020898338770637199,0.003725559402792815
DNC_e-mails-random,Erdős–Rényi,2026,41020,5584,14528,1,1.59937496749617,1.6158947065968992,25,298.03208292201384,0.46842865017826296,4.628345510001729e-11,2.7507389162561577,0.0013356074686123947,-0.028824955384408706
Dublin-random,Erdős–Rényi,10969,814186,88814,68951,1,1.5518781539305724,1.3680807271675217,27,10955.055064272039,0.36313637230726004,8.76669709738399e-10,8.093866763874965,0.0007201436194258147,0.002976676050629698
Enron-random,Erdős–Rényi,87226,1143194,320310,162226,1,1.782982003542381,1.5313068048564071,30,612.2685667117603,0.3229210235541329,1.798103458910172e-13,3.67016522675711,9.57394553865325e-05,-0.0015629065949529517
Epinions-random,Erdős–Rényi,131829,840622,840622,939,1,2.442695040888962,1.4068730099049702,13,39.261528191824254,0.0,5.505910817775668e-13,6.3766090920814085,9.446512269972653e-05,-0.000829947691784561
EU_e-mails-random,Erdős–Rényi,1005,336058,25112,143603,1,1.499402940062914,1.2569360690199685,4,1005.0,0.2247245624980424,4.6666294013696166e-09,24.987064676616914,0.04889994851933318,-0.0015431505007280988
Facebook_forum-random,Erdős–Rényi,900,68192,14092,21434,1,1.6000179031049657,1.2932140272693318,5,900.0,0.16339566036882702,5.827589439322218e-09,15.657777777777778,0.016840343324810353,0.0023059020057371628
Facebook_messages-random,Erdős–Rényi,1900,56420,20350,36677,1,1.7873625518607619,1.3314246883091974,20,1899.7647368421053,0.16247804529133383,9.225412373985623e-10,10.710526315789474,0.011368222671525333,-0.0004969012002698514
Facebook_wall-random,Erdős–Rényi,46953,844469,263206,539120,1,1.756937947076764,1.4312506540971173,38,22527.37471514067,0.26287054710971486,3.2092342722862406e-12,5.605733392967435,0.0002543349069979262,0.0006777098557564142
Flickr-random,Erdős–Rényi,2302926,33133661,33133661,134,1,2.4426950408889287,1.3009781978407329,-1,-1,0.0,3.56484425673921e-13,14.387635990040497,1.2150439044189585e-05,-0.0004493205636917677
High_school_2013-random,Erdős–Rényi,1892,360050,11532,7366,1,1.4319997602546681,1.4150741183837536,21,1884.5597251585623,0.4950530663896003,4.5260315473119396e-07,6.085488126649077,0.0032156878594873316,-0.0172040397300443
Hospital_ward-random,Erdős–Rényi,1335,64598,2384,8270,1,1.3584386309003134,1.874313361431188,23,33.122097378277154,0.7961048801138512,6.746942565314957e-07,1.336322869955157,0.0013079222720478326,-0.018183189350507875
Hypertext_2009-random,Erdős–Rényi,114,39360,4520,4432,1,1.5675818638333827,1.2291078574218177,2,114.0,0.1574163515270004,1.413666709365765e-05,39.64912280701754,0.35012282826084323,-0.03252595391945426
Infectious-random,Erdős–Rényi,411,34930,5488,1353,1,1.567525495021843,1.3074785479867175,5,411.0,0.21566907886890874,7.297464002775189e-06,13.35279805352798,0.03198853909493217,0.016406171600614215
InVS13-random,Erdős–Rényi,987,813394,7698,19537,1,1.2413142818566514,1.3744358701477177,6,987.0,0.38738019676097807,7.632160733241241e-07,7.791497975708502,0.008577804700393411,-0.01732179886504466
InVS15-random,Erdős–Rényi,1871,2544822,33400,21368,1,1.2566550246929535,1.2820875712582747,4,1871.0,0.20833496573428004,7.416545534574607e-07,17.851416354890432,0.009619201740161369,-0.009504135037306382
LH10-random,Erdős–Rényi,1417,298188,2834,12276,1,1.25605506200792,1.797304992580433,43,642.3895553987297,0.7941793149242269,2.537715316737763e-07,1.5876750700280111,0.0007096171802054154,-0.0083488770765749
Linux_kernel_mailing-random,Erdős–Rényi,63363,1085656,237931,597798,1,1.7142190833565736,1.525368517771911,32,1638.1650490033617,0.3569109435836934,1.7489144771259913e-12,3.7528548895899054,0.00015815421048302844,-0.0002987885011926965
Lyon_school-random,Erdős–Rényi,1923,13243538,53354,3124,1,1.184608252389841,1.2501470592402302,4,1923.0,0.23433942441361572,3.0438554836649314e-05,27.745189807592304,0.014425712490531713,0.0006419360448037921
Math_Overflow-random,Erdős–Rényi,24819,480159,228134,310160,1,1.9570149803567696,1.350783901234535,31,22853.064547322614,0.13576119404289785,3.4265082403229472e-12,9.191909424231435,0.0007459203107879573,0.0015528809836855635
MIT_Reality_Mining-random,Erdős–Rényi,97,2175554,4996,32667,1,1.2414558922950722,1.2159636014519486,2,97.0,0.35861780111851055,1.1639607694956571e-05,51.50515463917526,0.5377214218978085,-0.026248542676305876
Primary_school-random,Erdős–Rényi,1923,250916,16634,3100,1,1.4672422206061448,1.3589839365154535,20,1922.0078003120125,0.37544911181947027,6.064214898552961e-07,8.650026001040041,0.004583858848794152,0.0141022646591337
Radoslaw_e-mails-random,Erdős–Rényi,168,85976,5861,39862,1,1.4781183567195604,1.2361576642242296,3,168.0,0.1598986573642487,1.3455687428377133e-07,34.88690476190476,0.3756608038716634,-0.020967773621020154
SFHH-random,Erdős–Rényi,1925,2841990,147136,3137,1,1.320423308741916,1.1990768807278576,3,1925.0,0.05513201928280949,7.206126485415747e-06,76.43428571428572,0.03974540674199235,0.0016156655595398008
SFHH_conference-random,Erdős–Rényi,1925,130312,19062,3410,1,1.6627125506996658,1.341259915866203,19,1924.8192207792208,0.31442326351100486,2.8373053647143223e-07,9.902337662337663,0.004780813216420952,0.003372762128375786
Slashdot-random,Erdős–Rényi,50773,139835,130408,64885,1,2.3590557045477176,1.6399058359192002,12,13.990447678884447,0.041408374519695666,3.4157416324227627e-14,2.5528149714196227,8.282061077456897e-05,-0.0019354486841873376
