Datensatz,Kategorie,Knoten,Kanten,statische_Kanten,Zeitstempel,Gewichte,Kanten_Kardinalitaeten_Exponent,Grad_Exponent,temp_Durchmesser,Erreichbarkeit,temp_Korrelation,temp_Clustering,Grad,Clustering,Grad_assortativity
arXiv_hep_ph,Zitation,28093,9193606,6296894,2337,1,2.13942145844541,1.1907881704870797,16,15521.797778806109,0.2118188549517963,5.189524759258347e-09,224.1366127998861,0.590148873100974,0.16825011347943095
arXiv_hep_th,Zitation,22908,5346266,4889596,219,1,2.3395759494176067,1.20127044053554,11,5252.261917234154,0.22569561900312898,3.093649756284216e-09,213.43559299838492,0.602768570486338,0.10213466757624927
DBLP,Zitation,12590,99518,99287,30,1,2.439346274289501,1.5298232581123932,12,428.8114376489277,0.0005692585620672689,1.1317863463362635e-10,7.884361845762847,0.11717424750586522,0.008260850955308242
Digg_reply,Kommunikation,30398,175254,171467,83943,1,2.41595732458259,1.5878703695616534,34,15146.318244621356,0.006511118838041202,1.1131540926232261e-07,5.602486923911971,0.005286159462431614,0.1231570601982688
DNC_e-mails,Kommunikation,1891,78528,8849,19383,1,1.561404460497286,1.7944782992012394,13,1105.0248545742993,0.623879398245113,3.2424275690862785e-07,4.319211822660098,0.1947817461937406,-0.3034017033920185
Enron,Kommunikation,87273,2296144,596676,220364,1,1.7657065045566216,1.7697419670277479,23,31188.152979730272,0.5619411123882585,2.293485425377309e-09,6.816600591241378,0.11934085320362625,-0.11260995099522264
EU_e-mails,Kommunikation,986,664668,32128,207880,1,1.4400376764288567,1.28865016539456,16,961.709939148073,0.4416152866226453,3.1940471754009814e-07,31.9681592039801,0.3993549664221543,-0.019845354752254213
Facebook_messages,Kommunikation,1899,123468,29575,60774,1,1.6338952774210562,1.4048980284586123,17,1464.1442864665614,0.31739616657386405,1.0504142433505052e-07,14.566315789473684,0.10934134547266802,-0.08863919314601304
Facebook_wall,Kommunikation,46952,1753986,376906,867939,1,1.6379357902795948,1.47502029277007,42,25418.33630090305,0.493802957368179,1.179712521697124e-08,7.812578535982792,0.10796168445690914,0.28566142051109716
Linux_kernel_mailing,Kommunikation,27927,2192880,325837,881701,1,1.6137459154572134,1.5389281435982762,196,11121.468077487736,0.3379479715716229,2.9452866392262566e-07,5.047192429022082,0.13238281683872727,0.0014620354740201304
Radoslaw_e-mails,Kommunikation,167,165854,6501,57842,1,1.3945651296981545,1.2703070053681869,9,164.66467065868264,0.4452155951508759,8.12877894698174e-07,38.69047619047619,0.5883402132597146,-0.2527308534089539
Slashdot,Kommunikation,51083,281556,233951,90345,1,2.2403884037602344,1.7410862668381482,32,25263.366070904216,0.17951825845604907,1.0333413568710633e-10,4.563973063973064,0.020140640956314616,-0.016473628317966563
SMS,Kommunikation,44430,1096364,106088,470312,1,1.584014429129128,1.8324368310735206,39,2255.174454197614,0.743123131764136,4.6336161745636275e-08,2.3507010870788414,0.058368819088999366,0.043418515751614734
UC_Irvine_messages,Kommunikation,1899,119670,27676,58911,1,1.6286656854124364,1.4048980284586123,17,1464.1442864665614,0.42468153446074486,4.025446335055557e-08,14.566315789473684,0.10934134547266802,-0.11720547216632952
Yahoo_messages,Kommunikation,100001,6359436,1182953,1498868,1,1.5910439280627342,1.3969393224923512,76,74548.81745182548,0.4827258060636235,1.2717188620128985e-06,11.759044819103618,0.20109435149313518,0.08399448896010146
Contact,menschlicher Kontakt,274,56488,4248,15662,1,1.4152145317780143,1.4588534804953173,8,193.8102189781022,0.3320136776400155,7.210181317101789e-05,15.447272727272727,0.630379065633088,-0.27558242284677376
Dublin,menschlicher Kontakt,10972,831824,89034,76944,1,1.548804747461141,1.407041090156571,18,87.801950419249,0.6822554141147226,9.816133716302177e-07,8.113915975576415,0.4466293120668639,0.4799627609159672
High_school_2013,menschlicher Kontakt,327,377016,11636,7375,1,1.4286047485381421,1.2394236049138319,12,326.77675840978594,0.7980016723297217,6.350126242596429e-05,6.140369393139841,0.08688447275436426,0.03933016000002051
Hospital_ward,menschlicher Kontakt,75,64848,2278,9453,1,1.3518029623494763,1.252413061130258,4,69.86666666666666,0.7152180859820644,9.313232652383129e-05,1.276190476190476,0.026902506470228855,-0.05397042757824409
Hypertext_2009,menschlicher Kontakt,113,41636,4392,5246,1,1.569026184155613,1.2372412579749639,5,112.06194690265487,0.6542698860944434,3.275904844262893e-05,38.526315789473685,0.5300647570470658,-0.1179342640154976
Infectious,menschlicher Kontakt,410,34596,5530,1392,1,1.5780271951273352,1.3277305486961342,10,240.93658536585366,0.520163291652715,0.0001574814798273189,13.454987834549879,0.45471518042789366,0.24370099836089124
InVS13,menschlicher Kontakt,95,788494,7830,20129,1,1.2416419094724487,1.196772353862807,3,94.08421052631579,0.67944825341098,9.990718228561335e-05,7.925101214574899,0.08921421191384327,-0.02079198618136781
InVS15,menschlicher Kontakt,219,2566388,33450,21536,1,1.2563087902389651,1.1766340232484636,8,216.68036529680364,0.6537702610690004,7.096432026283335e-05,17.878140032068412,0.09350044726484266,-0.0014371812841772536
LH10,menschlicher Kontakt,73,300252,2762,12605,1,1.2586115606593606,1.2397819799256822,3,64.4931506849315,0.677940404644288,0.0003980143159290655,1.5473389355742297,0.03173909577095063,-0.05423880339592206
